=====================================================================================
  1进2战法回测 — 完整交易记录
=====================================================================================

==== 回测概况 ====
   回测天数: 60天 | 有效交易日: 57天
   akshare覆盖: 13天 | TDX回退: 44天
   总候选: 277笔 | 有效交易: 254笔 | 高开放弃: 23笔

==== 交易统计 ====
   胜: 88笔 | 负: 131笔 | 超时: 35笔
   胜率: 40.2% | 平均收益: -0.1%
   平均盈利: 7.0% | 平均亏损: -5.0%
   总盈利: 616.5% | 总亏损: 658.7% | 盈亏比: 0.94
   滚动10笔胜率(最近5段): [30.0, 40.0, 50.0, 50.0, 50.0]

==== 按数据源分组 ====
   数据源:akshare: 53笔 胜率45.5% 均收益0.4%
   数据源:tdx: 201笔 胜率38.9% 均收益-0.2%

==== 按评分分组 ====
   评分<60(一般): 53笔 胜率45.5% 均收益0.4%
   评分≥80(优质): 201笔 胜率38.9% 均收益-0.2%

==== 按持仓天数分组 ====
   持仓0天: 116笔 胜率39.8% 均收益-0.2%
   持仓1天: 70笔 胜率41.4% 均收益-0.1%
   持仓2天: 25笔 胜率36.0% 均收益-0.7%
   持仓3天: 43笔 胜率45.5% 均收益0.5%

==== 全部交易记录 (254笔) ====
   入场日          代码       名称       结果         收益%   持仓      入场价      离场价   评分   源
   2026-06-02   002279   002279   [负]   -5.0%   0天     7.54     7.16 100分 tdx
   2026-06-02   600588   600588   [负]   -5.0%   1天    11.50    10.92  95分 tdx
   2026-06-01   600011   600011   [胜]   +7.0%   0天     9.00     9.63 100分 tdx
   2026-06-01   600979   600979   [负]   -5.1%   0天     5.32     5.05 100分 tdx
   2026-06-01   002081   002081   [胜]   +7.0%   0天     6.29     6.73 100分 tdx
   2026-06-01   600110   600110   [负]   -5.0%   1天    12.61    11.98  95分 tdx
   2026-05-29   600982   600982   [负]   -5.0%   1天     6.63     6.30 100分 tdx
   2026-05-29   000791   000791   [负]   -5.0%   1天     9.67     9.19 100分 tdx
   2026-05-29   600726   600726   [负]   -5.0%   1天     9.75     9.26  95分 tdx
   2026-05-29   600110   600110   [胜]   +7.0%   0天    11.70    12.52  90分 tdx
   2026-05-28   600744   600744   [负]   -5.0%   0天     8.95     8.50 100分 tdx
   2026-05-28   600863   600863   [负]   -5.1%   1天     6.90     6.55 100分 tdx
   2026-05-28   000601   000601   [负]   -5.1%   2天     8.11     7.70 100分 tdx
   2026-05-27   600635   600635   [负]   -5.6%   1天     6.05     5.71 100分 tdx
