date,sh_close,sh_open,sh_high,sh_low,sh_chg,sh_amount,gz_close,gz_open,gz_high,gz_low,gz_chg,gz_amount,sz_close,sz_open,sz_high,sz_low,sz_chg,sz_amount,hs_close,hs_open,hs_high,hs_low,hs_chg,hs_amount,up_count,down_count,flat_count,limit_up,limit_down,scanned,sh_ma20,sh_ma60,sh_trend,sh_trend_now,sh_beichi
2025-09-12,3870.6,3875.51,3892.74,3866.54,-0.12,1093807308800.0,9719.59,9705.04,9786.95,9671.59,0.2,766806654976.0,12924.13,12941.26,13048.52,12905.47,-0.43,1427118227456.0,4522.0,4544.59,4564.67,4517.79,-0.57,689576083456.0,3388,5191,212,96,15,8902,3819.5,3637.07,盘整,上涨,False
2025-09-15,3860.5,3876.1,3879.74,3855.97,-0.26,986171965440.0,9711.18,9734.41,9758.03,9689.07,-0.09,698276118528.0,13005.77,12971.43,13098.78,12943.4,0.63,1291248336896.0,4533.06,4534.89,4566.91,4522.5,0.24,613314658304.0,3400,5143,243,93,13,8892,3826.13,3645.05,盘整,上涨,False
2025-09-16,3861.87,3865.98,3876.69,3838.65,0.04,989786144768.0,9828.68,9723.07,9828.68,9663.98,1.21,739049013248.0,13063.97,13017.58,13071.22,12863.82,0.45,1351636090880.0,4523.34,4539.92,4552.42,4494.79,-0.21,613728321536.0,5564,3011,208,113,2,8898,3832.86,3652.41,上涨,上涨,False
2025-09-17,3876.34,3854.07,3882.67,3848.95,0.37,1006679097344.0,9899.16,9821.25,9923.7,9797.43,0.72,759040901120.0,13215.46,13062.64,13226.2,13004.38,1.16,1370067304448.0,4551.02,4517.29,4556.03,4503.8,0.61,608454180864.0,5010,3548,229,103,6,8896,3838.36,3659.41,上涨,盘整,False
2025-09-18,3831.66,3876.06,3899.96,3801.0,-1.15,1365962391552.0,9794.33,9891.13,10040.02,9685.99,-1.06,972627968000.0,13075.66,13161.15,13328.1,12915.97,-1.06,1769208938496.0,4498.11,4546.03,4573.83,4454.99,-1.16,839987101696.0,1627,7075,93,73,19,8887,3841.39,3665.8,上涨,下跌,False
2025-09-19,3820.09,3830.44,3843.17,3811.9,-0.3,1016348278784.0,9722.16,9786.47,9842.29,9675.61,-0.74,707555557376.0,13070.86,13074.91,13182.6,13016.06,-0.04,1307489992704.0,4501.92,4499.09,4533.09,4491.84,0.08,603887042560.0,3200,5398,197,72,30,8897,3841.11,3672.4,上涨,盘整,False
2025-09-22,3828.58,3822.01,3831.74,3806.2,0.22,941799964672.0,9783.12,9737.77,9783.12,9686.75,0.63,645459607552.0,13157.97,13119.83,13157.97,13006.36,0.67,1179690205184.0,4522.61,4512.03,4523.87,4487.13,0.46,563149144064.0,3879,4735,173,120,16,8923,3838.36,3678.8,上涨,盘整,False
2025-09-23,3821.83,3830.14,3838.61,3774.53,-0.18,1071697821696.0,9655.05,9788.3,9792.54,9459.48,-1.31,758629203968.0,13119.82,13246.93,13267.9,12875.33,-0.29,1422691401728.0,4519.78,4536.76,4560.73,4459.73,-0.06,680513634304.0,2030,6623,140,63,24,8880,3836.03,3684.87,上涨,盘整,False
2025-09-24,3853.64,3804.48,3854.92,3804.33,0.83,1015707860992.0,9802.73,9601.53,9802.76,9557.38,1.53,705739030528.0,13356.14,13037.08,13356.14,13009.64,1.8,1311083069440.0,4566.07,4495.27,4567.49,4494.11,1.02,629161525248.0,7452,1197,154,119,9,8931,3838.7,3691.52,上涨,盘整,False
2025-09-25,3853.3,3852.43,3866.11,3840.46,-0.01,1001211363328.0,9759.4,9780.87,9847.53,9740.04,-0.44,692611776512.0,13445.9,13333.02,13529.33,13295.53,0.67,1369884590080.0,4593.49,4563.98,4613.95,4558.84,0.6,669866983424.0,3261,5405,153,55,26,8900,3839.18,3698.05,上涨,盘整,False
