trade_id,代码,信号日,买入日,卖出日,is_zt,lu_250d,lu_60d,lu_20d,est_float_cap,price,avg_amount_20d_yi,max_consec_zt,is_250d_high,days_since_last_zt,pre_vol_slope,pre_price_slope,pre_vol_expansion,pre_price_compression,pre_sum_chg,pre_pos_days,pre_close_pos,mkt_7pct_count,mkt_zt_count,mkt_avg_7pct_gain,mkt_hot_sector_count,mkt_sh_above_ma60,sec_zt_count,sec_avg_gain,sec_has_zhongjun,sec_stock_count,sec_is_top1,sec_rank,sec_pos_days_3d,key,评分,信号涨幅%,突破幅度%,量比MAVOL180,持有天数,label_3d_return,label_return_gt_5pct,label_return_gt_0pct,label_is_zt,label_max_return,label_max_drawdown,label_day1_return
11,000677,20250519,20250520,20250523,0,7,2,2,1172.3,5.56,4.1,2,0,0,5.36,1.67,0.99,0.46,21.0,6,0.65,155,110,10.51,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,000677_20250519,75,10.1%,0.1,2.1,3,-0.0123,0,0,0,0.08056042031523643,-0.05429071803852883,-0.010507880910682945
12,002990,20250519,20250520,20250523,1,14,8,2,303.2,28.47,1.2,2,0,0,-8.35,-0.82,0.63,0.97,-8.08,4,0.12,155,110,10.51,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002990_20250519,67,10.0%,10.1,1.2,3,0.0245,0,1,1,0.06448311156601845,-0.07130672125554419,-0.04981235073353795
13,600881,20250519,20250520,20250523,0,8,6,3,238.1,1.79,0.9,7,0,0,-0.3,0.17,1.01,0.53,4.58,4,0.67,155,110,10.51,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600881_20250519,80,9.8%,9.1,1.6,3,-0.057300000000000004,0,0,0,0.14516129032258052,-0.05913978494623661,0.04838709677419347
14,603630,20250519,20250520,20250523,0,6,1,1,885.3,24.88,2.8,1,1,0,7.41,1.7,1.63,2.26,16.2,5,0.84,155,110,10.51,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603630_20250519,75,10.0%,0.0,2.7,3,0.0565,1,1,0,0.19139123750960801,-0.01844734819369717,0.08608762490392013
15,000670,20250520,20250521,20250526,0,10,3,0,949.7,7.56,3.4,2,0,0,-9.8,-0.37,0.62,0.91,0.57,6,0.47,157,106,10.78,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,000670_20250520,57,10.0%,1.2,1.3,3,-0.0366,0,0,0,-0.0013227513227512947,-0.05952380952380943,-0.01719576719576718
16,002348,20250520,20250521,20250526,0,10,3,0,214.9,3.83,0.8,3,0,59,-4.02,0.44,0.58,0.53,5.08,5,0.74,157,106,10.78,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002348_20250520,69,9.4%,8.8,1.2,3,-0.0305,0,0,0,-0.002702702702702765,-0.06756756756756756,-0.029729729729729815
17,603725,20250520,20250521,20250526,0,9,6,4,105.7,7.91,0.4,1,0,0,-4.41,-0.05,0.93,1.45,1.02,3,0.86,157,106,10.78,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603725_20250520,85,10.0%,7.2,2.6,3,0.069,1,1,0,0.12439613526570063,-0.06642512077294674,0.036231884057971106
18,600234,20250521,20250522,20250527,0,16,6,0,58.5,7.74,0.2,1,1,0,6.25,-0.02,1.62,0.94,-0.4,4,0.21,92,72,10.94,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600234_20250521,72,9.9%,7.9,1.6,3,-0.1223,0,0,0,-0.06874999999999998,-0.15749999999999997,-0.14249999999999996
19,600793,20250521,20250522,20250527,1,8,6,6,1378.4,30.49,4.3,7,1,0,-0.01,-0.2,0.99,1.08,8.59,5,1.0,92,72,10.94,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600793_20250521,90,10.0%,8.6,3.2,3,0.2477,1,1,1,0.3827118644067796,0.1000000000000001,0.1450847457627119
20,601579,20250521,20250522,20250529,1,7,0,0,974.5,18.72,3.1,2,1,0,5.78,1.15,1.82,1.91,15.92,6,0.88,92,72,10.94,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,601579_20250521,85,10.0%,6.4,2.2,5,0.3975,1,1,1,0.41843220338983067,0.020127118644067934,0.027012711864406864
